,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
485,2019-05-01,3980.3140367108017,2316.8297928205843,5767.292819244702,3980.3140367108017,3980.3140367108017,0.0,0.0,0.0,0.0,0.0,0.0,3980.3140367108017
486,2019-05-02,3981.3763241609213,2193.9191771537303,5798.122877726412,3981.3763241609213,3981.3763241609213,0.0,0.0,0.0,0.0,0.0,0.0,3981.3763241609213
487,2019-05-03,3982.4386116110422,2164.6959101161115,5774.203952731215,3982.4386116110422,3982.4386116110422,0.0,0.0,0.0,0.0,0.0,0.0,3982.4386116110422
488,2019-05-04,3983.500899061162,2077.705970404448,5739.203763581468,3983.500899061162,3983.500899061162,0.0,0.0,0.0,0.0,0.0,0.0,3983.500899061162
489,2019-05-05,3984.5631865112823,2214.2856868673625,5736.481654618742,3984.5631865112823,3984.5631865112823,0.0,0.0,0.0,0.0,0.0,0.0,3984.5631865112823
490,2019-05-06,3985.6254739614023,2282.81191778298,5747.588974602526,3985.6254739614023,3985.6254739614023,0.0,0.0,0.0,0.0,0.0,0.0,3985.6254739614023
491,2019-05-07,3986.687761411523,2221.1401441034354,5899.862470937418,3986.687761411523,3986.687761411523,0.0,0.0,0.0,0.0,0.0,0.0,3986.687761411523
492,2019-05-08,3987.7500488616424,2206.829170399303,5798.832168991389,3987.7500488616424,3987.7500488616424,0.0,0.0,0.0,0.0,0.0,0.0,3987.7500488616424
493,2019-05-09,3988.812336311763,2257.328962119184,5739.26189077589,3988.812336311763,3988.812336311763,0.0,0.0,0.0,0.0,0.0,0.0,3988.812336311763
494,2019-05-10,3989.874623761883,2102.1934582442345,5815.061291172008,3989.874623761883,3989.874623761883,0.0,0.0,0.0,0.0,0.0,0.0,3989.874623761883
495,2019-05-11,3990.936911212003,2283.8616080693696,5617.502609823183,3990.936911212003,3990.936911212003,0.0,0.0,0.0,0.0,0.0,0.0,3990.936911212003
496,2019-05-12,3991.9991986621235,2150.91389563014,5762.671840382249,3991.9991986621235,3991.9991986621235,0.0,0.0,0.0,0.0,0.0,0.0,3991.9991986621235
